user_id,pay_date,amount
1,2023-07-09,10
1,2023-08-08,10
1,2023-09-07,10
1,2023-10-07,10
1,2023-11-06,10
1,2023-12-06,10
2,2023-04-02,10
2,2023-05-02,10
2,2023-06-01,10
2,2023-07-01,10
2,2023-07-31,10
2,2023-08-30,10
2,2023-09-29,10
2,2023-10-29,10
2,2023-11-28,10
3,2023-07-14,10
3,2023-08-13,10
3,2023-09-12,10
3,2023-10-12,10
3,2023-11-11,10
4,2023-07-05,10
4,2023-08-04,10
4,2023-09-03,10
4,2023-10-03,10
4,2023-11-02,10
4,2023-12-02,10
5,2023-07-16,10
6,2023-02-23,10
6,2023-03-25,10
6,2023-04-24,10
6,2023-05-24,10
6,2023-06-23,10
6,2023-07-23,10
7,2023-04-27,10
7,2023-05-27,10
7,2023-06-26,10
7,2023-07-26,10
7,2023-08-25,10
7,2023-09-24,10
8,2023-03-16,10
8,2023-04-15,10
8,2023-05-15,10
8,2023-06-14,10
8,2023-07-14,10
8,2023-08-13,10
9,2023-07-10,10
9,2023-08-09,10
9,2023-09-08,10
9,2023-10-08,10
9,2023-11-07,10
9,2023-12-07,10
10,2023-02-24,10
10,2023-03-26,10
11,2023-03-16,10
11,2023-04-15,10
11,2023-05-15,10
11,2023-06-14,10
11,2023-07-14,10
11,2023-08-13,10
11,2023-09-12,10
11,2023-10-12,10
12,2023-03-18,10
12,2023-04-17,10
12,2023-05-17,10
12,2023-06-16,10
12,2023-07-16,10
12,2023-08-15,10
13,2023-04-18,10
13,2023-05-18,10
13,2023-06-17,10
13,2023-07-17,10
13,2023-08-16,10
13,2023-09-15,10
13,2023-10-15,10
13,2023-11-14,10
13,2023-12-14,10
14,2023-01-11,10
14,2023-02-10,10
14,2023-03-12,10
14,2023-04-11,10
14,2023-05-11,10
14,2023-06-10,10
15,2023-01-27,10
15,2023-02-26,10
15,2023-03-28,10
15,2023-04-27,10
16,2023-06-24,10
16,2023-07-24,10
17,2023-05-01,10
17,2023-05-31,10
17,2023-06-30,10
17,2023-07-30,10
17,2023-08-29,10
17,2023-09-28,10
17,2023-10-28,10
18,2023-06-29,10
18,2023-07-29,10
18,2023-08-28,10
18,2023-09-27,10
18,2023-10-27,10
18,2023-11-26,10
18,2023-12-26,10
19,2023-03-14,10
19,2023-04-13,10
20,2023-05-28,10
20,2023-06-27,10
20,2023-07-27,10
21,2023-07-05,10
21,2023-08-04,10
21,2023-09-03,10
22,2023-02-03,10
22,2023-03-05,10
22,2023-04-04,10
22,2023-05-04,10
22,2023-06-03,10
22,2023-07-03,10
22,2023-08-02,10
23,2023-06-23,10
23,2023-07-23,10
24,2023-01-10,10
25,2023-06-24,10
25,2023-07-24,10
25,2023-08-23,10
25,2023-09-22,10
25,2023-10-22,10
25,2023-11-21,10
25,2023-12-21,10
26,2023-06-02,10
26,2023-07-02,10
26,2023-08-01,10
27,2023-03-21,10
27,2023-04-20,10
27,2023-05-20,10
27,2023-06-19,10
28,2023-05-25,10
29,2023-03-03,10
29,2023-04-02,10
29,2023-05-02,10
29,2023-06-01,10
29,2023-07-01,10
29,2023-07-31,10
30,2023-02-05,10
30,2023-03-07,10
31,2023-03-10,10
31,2023-04-09,10
31,2023-05-09,10
31,2023-06-08,10
31,2023-07-08,10
31,2023-08-07,10
31,2023-09-06,10
31,2023-10-06,10
31,2023-11-05,10
32,2023-01-11,10
32,2023-02-10,10
32,2023-03-12,10
32,2023-04-11,10
32,2023-05-11,10
32,2023-06-10,10
32,2023-07-10,10
32,2023-08-09,10
32,2023-09-08,10
33,2023-02-11,10
33,2023-03-13,10
33,2023-04-12,10
34,2023-04-15,10
34,2023-05-15,10
34,2023-06-14,10
35,2023-04-19,10
35,2023-05-19,10
35,2023-06-18,10
35,2023-07-18,10
36,2023-03-03,10
36,2023-04-02,10
36,2023-05-02,10
36,2023-06-01,10
36,2023-07-01,10
37,2023-04-07,10
37,2023-05-07,10
38,2023-02-02,10
39,2023-02-17,10
39,2023-03-19,10
39,2023-04-18,10
39,2023-05-18,10
39,2023-06-17,10
39,2023-07-17,10
39,2023-08-16,10
39,2023-09-15,10
39,2023-10-15,10
40,2023-02-04,10
40,2023-03-06,10
40,2023-04-05,10
40,2023-05-05,10
40,2023-06-04,10
41,2023-07-07,10
41,2023-08-06,10
41,2023-09-05,10
41,2023-10-05,10
41,2023-11-04,10
42,2023-03-31,10
42,2023-04-30,10
42,2023-05-30,10
42,2023-06-29,10
42,2023-07-29,10
43,2023-03-02,10
43,2023-04-01,10
43,2023-05-01,10
43,2023-05-31,10
44,2023-04-30,10
44,2023-05-30,10
44,2023-06-29,10
44,2023-07-29,10
44,2023-08-28,10
44,2023-09-27,10
44,2023-10-27,10
44,2023-11-26,10
45,2023-06-16,10
45,2023-07-16,10
45,2023-08-15,10
45,2023-09-14,10
45,2023-10-14,10
45,2023-11-13,10
45,2023-12-13,10
46,2023-07-05,10
46,2023-08-04,10
46,2023-09-03,10
46,2023-10-03,10
46,2023-11-02,10
47,2023-06-22,10
48,2023-07-02,10
48,2023-08-01,10
48,2023-08-31,10
48,2023-09-30,10
48,2023-10-30,10
49,2023-06-16,10
49,2023-07-16,10
50,2023-06-17,10
50,2023-07-17,10
50,2023-08-16,10
50,2023-09-15,10
50,2023-10-15,10
50,2023-11-14,10
50,2023-12-14,10
51,2023-05-11,10
51,2023-06-10,10
52,2023-04-27,10
52,2023-05-27,10
52,2023-06-26,10
52,2023-07-26,10
52,2023-08-25,10
52,2023-09-24,10
52,2023-10-24,10
52,2023-11-23,10
52,2023-12-23,10
53,2023-02-25,10
53,2023-03-27,10
53,2023-04-26,10
53,2023-05-26,10
53,2023-06-25,10
53,2023-07-25,10
53,2023-08-24,10
53,2023-09-23,10
53,2023-10-23,10
54,2023-02-01,10
54,2023-03-03,10
54,2023-04-02,10
54,2023-05-02,10
54,2023-06-01,10
54,2023-07-01,10
54,2023-07-31,10
55,2023-06-22,10
55,2023-07-22,10
55,2023-08-21,10
55,2023-09-20,10
55,2023-10-20,10
55,2023-11-19,10
55,2023-12-19,10
56,2023-06-05,10
56,2023-07-05,10
56,2023-08-04,10
57,2023-07-06,10
57,2023-08-05,10
57,2023-09-04,10
57,2023-10-04,10
57,2023-11-03,10
57,2023-12-03,10
58,2023-06-01,10
58,2023-07-01,10
58,2023-07-31,10
58,2023-08-30,10
58,2023-09-29,10
58,2023-10-29,10
59,2023-04-24,10
59,2023-05-24,10
59,2023-06-23,10
59,2023-07-23,10
60,2023-01-05,10
60,2023-02-04,10
60,2023-03-06,10
61,2023-01-14,10
61,2023-02-13,10
61,2023-03-15,10
61,2023-04-14,10
61,2023-05-14,10
61,2023-06-13,10
61,2023-07-13,10
61,2023-08-12,10
62,2023-06-12,10
63,2023-02-10,10
63,2023-03-12,10
63,2023-04-11,10
63,2023-05-11,10
63,2023-06-10,10
63,2023-07-10,10
64,2023-06-29,10
64,2023-07-29,10
